University,Scholarship,Scholarship_Type,Conditions,Scholarship_Value,Source
มหาวิทยาลัยศรีนครินทรวิโรฒ (แพทย์),ทุนการศึกษา มศว (ส่วนกิจการนิสิต),ทุนการศึกษาช่วยเหลือนิสิต (ขาดแคลนทุนทรัพย์/สนับสนุนการศึกษา),สำหรับนิสิตที่ขาดแคลนโอกาสทางการศึกษา ดูแลโดยส่วนกิจการนิสิต สำนักงานอธิการบดี มหาวิทยาลัยศรีนครินทรวิโรฒ,ตามประกาศแต่ละทุน,https://studentaffairs.op.swu.ac.th/scholarship
มหาวิทยาลัยศรีนครินทรวิโรฒ (ทันตแพทย์),ทุนการศึกษา มศว (ส่วนกิจการนิสิต),ทุนการศึกษาช่วยเหลือนิสิต (ขาดแคลนทุนทรัพย์/สนับสนุนการศึกษา),สำหรับนิสิตที่ขาดแคลนโอกาสทางการศึกษา ดูแลโดยส่วนกิจการนิสิต สำนักงานอธิการบดี มหาวิทยาลัยศรีนครินทรวิโรฒ,ตามประกาศแต่ละทุน,https://studentaffairs.op.swu.ac.th/scholarship
มหาวิทยาลัยศรีนครินทรวิโรฒ (เภสัชศาสตร์),ทุนการศึกษา มศว (ส่วนกิจการนิสิต),ทุนการศึกษาช่วยเหลือนิสิต (ขาดแคลนทุนทรัพย์/สนับสนุนการศึกษา),สำหรับนิสิตที่ขาดแคลนโอกาสทางการศึกษา ดูแลโดยส่วนกิจการนิสิต สำนักงานอธิการบดี มหาวิทยาลัยศรีนครินทรวิโรฒ,ตามประกาศแต่ละทุน,https://studentaffairs.op.swu.ac.th/scholarship
มหาวิทยาลัยศรีนครินทรวิโรฒ (วิศวกรรม),ทุนการศึกษา มศว (ส่วนกิจการนิสิต),ทุนการศึกษาช่วยเหลือนิสิต (ขาดแคลนทุนทรัพย์/สนับสนุนการศึกษา),สำหรับนิสิตที่ขาดแคลนโอกาสทางการศึกษา ดูแลโดยส่วนกิจการนิสิต สำนักงานอธิการบดี มหาวิทยาลัยศรีนครินทรวิโรฒ,ตามประกาศแต่ละทุน,https://studentaffairs.op.swu.ac.th/scholarship
มหาวิทยาลัยศรีนครินทรวิโรฒ (วิทย์/ศึกษาศาสตร์/สังคม),ทุนการศึกษา มศว (ส่วนกิจการนิสิต),ทุนการศึกษาช่วยเหลือนิสิต (ขาดแคลนทุนทรัพย์/สนับสนุนการศึกษา),สำหรับนิสิตที่ขาดแคลนโอกาสทางการศึกษา ดูแลโดยส่วนกิจการนิสิต สำนักงานอธิการบดี มหาวิทยาลัยศรีนครินทรวิโรฒ,ตามประกาศแต่ละทุน,https://studentaffairs.op.swu.ac.th/scholarship
มหาวิทยาลัยศรีนครินทรวิโรฒ (บัณฑิตศึกษา),ทุนการศึกษา มศว (ส่วนกิจการนิสิต),ทุนการศึกษาช่วยเหลือนิสิต (ขาดแคลนทุนทรัพย์/สนับสนุนการศึกษา),สำหรับนิสิตที่ขาดแคลนโอกาสทางการศึกษา ดูแลโดยส่วนกิจการนิสิต สำนักงานอธิการบดี มหาวิทยาลัยศรีนครินทรวิโรฒ,ตามประกาศแต่ละทุน,https://studentaffairs.op.swu.ac.th/scholarship
KMITL ลาดกระบัง (วิศวกรรมศาสตร์),ทุนการศึกษา สจล. (สำนักงานกิจการนักศึกษาและศิษย์เก่าสัมพันธ์ - OSDA),"ทุนการศึกษาภายในและทุนจากหน่วยงานภายนอก (เช่น ทุน HONDA, ทุนธนาคารแห่งประเทศไทย)",งานบริการและสวัสดิการนักศึกษาจัดสรรทุนการศึกษาให้นักศึกษา สจล. รวมถึงรับสมัครทุนจากหน่วยงานภายนอก,ตามประกาศแต่ละทุน,https://osda.kmitl.ac.th/
KMITL ลาดกระบัง (สถาปัตย์/วิทย์),ทุนการศึกษา สจล. (สำนักงานกิจการนักศึกษาและศิษย์เก่าสัมพันธ์ - OSDA),"ทุนการศึกษาภายในและทุนจากหน่วยงานภายนอก (เช่น ทุน HONDA, ทุนธนาคารแห่งประเทศไทย)",งานบริการและสวัสดิการนักศึกษาจัดสรรทุนการศึกษาให้นักศึกษา สจล. รวมถึงรับสมัครทุนจากหน่วยงานภายนอก,ตามประกาศแต่ละทุน,https://osda.kmitl.ac.th/
KMITL ลาดกระบัง (ครุศาสตร์อุตสาหกรรม),ทุนการศึกษา สจล. (สำนักงานกิจการนักศึกษาและศิษย์เก่าสัมพันธ์ - OSDA),"ทุนการศึกษาภายในและทุนจากหน่วยงานภายนอก (เช่น ทุน HONDA, ทุนธนาคารแห่งประเทศไทย)",งานบริการและสวัสดิการนักศึกษาจัดสรรทุนการศึกษาให้นักศึกษา สจล. รวมถึงรับสมัครทุนจากหน่วยงานภายนอก,ตามประกาศแต่ละทุน,https://osda.kmitl.ac.th/
KMITL ลาดกระบัง (Intl Program),ทุนการศึกษา สจล. (สำนักงานกิจการนักศึกษาและศิษย์เก่าสัมพันธ์ - OSDA),"ทุนการศึกษาภายในและทุนจากหน่วยงานภายนอก (เช่น ทุน HONDA, ทุนธนาคารแห่งประเทศไทย)",งานบริการและสวัสดิการนักศึกษาจัดสรรทุนการศึกษาให้นักศึกษา สจล. รวมถึงรับสมัครทุนจากหน่วยงานภายนอก,ตามประกาศแต่ละทุน,https://osda.kmitl.ac.th/
KMITL ลาดกระบัง (บัณฑิตศึกษา),ทุนการศึกษา สจล. (สำนักงานกิจการนักศึกษาและศิษย์เก่าสัมพันธ์ - OSDA),"ทุนการศึกษาภายในและทุนจากหน่วยงานภายนอก (เช่น ทุน HONDA, ทุนธนาคารแห่งประเทศไทย)",งานบริการและสวัสดิการนักศึกษาจัดสรรทุนการศึกษาให้นักศึกษา สจล. รวมถึงรับสมัครทุนจากหน่วยงานภายนอก,ตามประกาศแต่ละทุน,https://osda.kmitl.ac.th/
KMUTT บางมด (วิศวกรรมศาสตร์),ทุนการศึกษาเพชรพระจอมเกล้า ระดับปริญญาตรี,ทุนเรียนดี/ความสามารถเป็นเลิศ (ระดับปริญญาตรี),สนับสนุนนักศึกษาที่มีความสามารถทั้งด้านวิชาการและความสามารถเฉพาะด้าน ตามระยะเวลาการศึกษาในหลักสูตร,"ค่าเล่าเรียนตามหลักสูตร + ค่าครองชีพรายเดือน 4,000 บาท/เดือน",https://www.kmutt.ac.th/sfa/list-scholarships/
KMUTT บางมด (วิศวกรรมศาสตร์),ทุนการศึกษาธรรมรักษา,ทุนขยายโอกาสทางการศึกษา (ขาดแคลน/พื้นที่ห่างไกล),สำหรับนักศึกษาที่ไม่มีบุคคลในครอบครัวสำเร็จการศึกษาระดับอุดมศึกษา หรือมีภูมิลำเนาในพื้นที่ทุรกันดารห่างไกล รับสมัครโดยการเสนอชื่อจากคณะ/ภาควิชา,"ค่าเล่าเรียนตามหลักสูตร + ค่าครองชีพ 4,000 บาท/เดือน + ค่าอุปกรณ์ 10,000 บาท/ปี + สิทธิ์พักหอพักใน มจธ.",https://www.kmutt.ac.th/sfa/list-scholarships/
KMUTT บางมด (วิศวกรรมศาสตร์),ทุนการศึกษาเพชรพระจอมเกล้า ดุษฎีบัณฑิต,ทุนวิจัย/บัณฑิตศึกษา (ระดับปริญญาเอก),จูงใจให้นักศึกษาทุ่มเทเวลาให้การศึกษาระดับปริญญาเอกและทำวิจัยภายใต้การดูแลของคณาจารย์/กลุ่มวิจัย,"ค่าเล่าเรียนตามหลักสูตร + ค่าครองชีพ 18,000 บาท/เดือน + เงินอุดหนุนวิจัยตลอดหลักสูตร 150,000 บาท",https://www.kmutt.ac.th/sfa/list-scholarships/
KMUTT บางมด (วิทย์/สถาปัตย์),ทุนการศึกษาเพชรพระจอมเกล้า ระดับปริญญาตรี,ทุนเรียนดี/ความสามารถเป็นเลิศ (ระดับปริญญาตรี),สนับสนุนนักศึกษาที่มีความสามารถทั้งด้านวิชาการและความสามารถเฉพาะด้าน ตามระยะเวลาการศึกษาในหลักสูตร,"ค่าเล่าเรียนตามหลักสูตร + ค่าครองชีพรายเดือน 4,000 บาท/เดือน",https://www.kmutt.ac.th/sfa/list-scholarships/
KMUTT บางมด (วิทย์/สถาปัตย์),ทุนการศึกษาธรรมรักษา,ทุนขยายโอกาสทางการศึกษา (ขาดแคลน/พื้นที่ห่างไกล),สำหรับนักศึกษาที่ไม่มีบุคคลในครอบครัวสำเร็จการศึกษาระดับอุดมศึกษา หรือมีภูมิลำเนาในพื้นที่ทุรกันดารห่างไกล รับสมัครโดยการเสนอชื่อจากคณะ/ภาควิชา,"ค่าเล่าเรียนตามหลักสูตร + ค่าครองชีพ 4,000 บาท/เดือน + ค่าอุปกรณ์ 10,000 บาท/ปี + สิทธิ์พักหอพักใน มจธ.",https://www.kmutt.ac.th/sfa/list-scholarships/
KMUTT บางมด (วิทย์/สถาปัตย์),ทุนการศึกษาเพชรพระจอมเกล้า ดุษฎีบัณฑิต,ทุนวิจัย/บัณฑิตศึกษา (ระดับปริญญาเอก),จูงใจให้นักศึกษาทุ่มเทเวลาให้การศึกษาระดับปริญญาเอกและทำวิจัยภายใต้การดูแลของคณาจารย์/กลุ่มวิจัย,"ค่าเล่าเรียนตามหลักสูตร + ค่าครองชีพ 18,000 บาท/เดือน + เงินอุดหนุนวิจัยตลอดหลักสูตร 150,000 บาท",https://www.kmutt.ac.th/sfa/list-scholarships/
KMUTT บางมด (KMUTT IC นานาชาติ),ทุนการศึกษาเพชรพระจอมเกล้า ระดับปริญญาตรี,ทุนเรียนดี/ความสามารถเป็นเลิศ (ระดับปริญญาตรี),สนับสนุนนักศึกษาที่มีความสามารถทั้งด้านวิชาการและความสามารถเฉพาะด้าน ตามระยะเวลาการศึกษาในหลักสูตร,"ค่าเล่าเรียนตามหลักสูตร + ค่าครองชีพรายเดือน 4,000 บาท/เดือน",https://www.kmutt.ac.th/sfa/list-scholarships/
KMUTT บางมด (KMUTT IC นานาชาติ),ทุนการศึกษาธรรมรักษา,ทุนขยายโอกาสทางการศึกษา (ขาดแคลน/พื้นที่ห่างไกล),สำหรับนักศึกษาที่ไม่มีบุคคลในครอบครัวสำเร็จการศึกษาระดับอุดมศึกษา หรือมีภูมิลำเนาในพื้นที่ทุรกันดารห่างไกล รับสมัครโดยการเสนอชื่อจากคณะ/ภาควิชา,"ค่าเล่าเรียนตามหลักสูตร + ค่าครองชีพ 4,000 บาท/เดือน + ค่าอุปกรณ์ 10,000 บาท/ปี + สิทธิ์พักหอพักใน มจธ.",https://www.kmutt.ac.th/sfa/list-scholarships/
KMUTT บางมด (KMUTT IC นานาชาติ),ทุนการศึกษาเพชรพระจอมเกล้า ดุษฎีบัณฑิต,ทุนวิจัย/บัณฑิตศึกษา (ระดับปริญญาเอก),จูงใจให้นักศึกษาทุ่มเทเวลาให้การศึกษาระดับปริญญาเอกและทำวิจัยภายใต้การดูแลของคณาจารย์/กลุ่มวิจัย,"ค่าเล่าเรียนตามหลักสูตร + ค่าครองชีพ 18,000 บาท/เดือน + เงินอุดหนุนวิจัยตลอดหลักสูตร 150,000 บาท",https://www.kmutt.ac.th/sfa/list-scholarships/
KMUTT บางมด (บัณฑิตศึกษา),ทุนการศึกษาเพชรพระจอมเกล้า ระดับปริญญาตรี,ทุนเรียนดี/ความสามารถเป็นเลิศ (ระดับปริญญาตรี),สนับสนุนนักศึกษาที่มีความสามารถทั้งด้านวิชาการและความสามารถเฉพาะด้าน ตามระยะเวลาการศึกษาในหลักสูตร,"ค่าเล่าเรียนตามหลักสูตร + ค่าครองชีพรายเดือน 4,000 บาท/เดือน",https://www.kmutt.ac.th/sfa/list-scholarships/
KMUTT บางมด (บัณฑิตศึกษา),ทุนการศึกษาธรรมรักษา,ทุนขยายโอกาสทางการศึกษา (ขาดแคลน/พื้นที่ห่างไกล),สำหรับนักศึกษาที่ไม่มีบุคคลในครอบครัวสำเร็จการศึกษาระดับอุดมศึกษา หรือมีภูมิลำเนาในพื้นที่ทุรกันดารห่างไกล รับสมัครโดยการเสนอชื่อจากคณะ/ภาควิชา,"ค่าเล่าเรียนตามหลักสูตร + ค่าครองชีพ 4,000 บาท/เดือน + ค่าอุปกรณ์ 10,000 บาท/ปี + สิทธิ์พักหอพักใน มจธ.",https://www.kmutt.ac.th/sfa/list-scholarships/
KMUTT บางมด (บัณฑิตศึกษา),ทุนการศึกษาเพชรพระจอมเกล้า ดุษฎีบัณฑิต,ทุนวิจัย/บัณฑิตศึกษา (ระดับปริญญาเอก),จูงใจให้นักศึกษาทุ่มเทเวลาให้การศึกษาระดับปริญญาเอกและทำวิจัยภายใต้การดูแลของคณาจารย์/กลุ่มวิจัย,"ค่าเล่าเรียนตามหลักสูตร + ค่าครองชีพ 18,000 บาท/เดือน + เงินอุดหนุนวิจัยตลอดหลักสูตร 150,000 บาท",https://www.kmutt.ac.th/sfa/list-scholarships/
KMUTNB มจพ. (วิศวกรรมศาสตร์),ทุนการศึกษา มจพ. (กลุ่มงานสวัสดิการนักศึกษา / กองทุนช่วยเหลือนักศึกษา),ทุนขาดแคลนทุนทรัพย์ และทุนจากหน่วยงานภายนอก,ช่วยเหลือนักศึกษาที่มีความจำเป็นทางการเงิน/ขาดแคลนทุนทรัพย์ ตามระเบียบกองทุนช่วยเหลือนักศึกษา มจพ. พ.ศ. 2566 และกองทุนสนับสนุนการศึกษาเพื่อผู้ด้อยโอกาส,ตามประกาศแต่ละทุน,https://sa.op.kmutnb.ac.th/scholarship/
KMUTNB มจพ. (สังคม/บริหาร),ทุนการศึกษา มจพ. (กลุ่มงานสวัสดิการนักศึกษา / กองทุนช่วยเหลือนักศึกษา),ทุนขาดแคลนทุนทรัพย์ และทุนจากหน่วยงานภายนอก,ช่วยเหลือนักศึกษาที่มีความจำเป็นทางการเงิน/ขาดแคลนทุนทรัพย์ ตามระเบียบกองทุนช่วยเหลือนักศึกษา มจพ. พ.ศ. 2566 และกองทุนสนับสนุนการศึกษาเพื่อผู้ด้อยโอกาส,ตามประกาศแต่ละทุน,https://sa.op.kmutnb.ac.th/scholarship/
KMUTNB มจพ. (บัณฑิตศึกษา),ทุนการศึกษา มจพ. (กลุ่มงานสวัสดิการนักศึกษา / กองทุนช่วยเหลือนักศึกษา),ทุนขาดแคลนทุนทรัพย์ และทุนจากหน่วยงานภายนอก,ช่วยเหลือนักศึกษาที่มีความจำเป็นทางการเงิน/ขาดแคลนทุนทรัพย์ ตามระเบียบกองทุนช่วยเหลือนักศึกษา มจพ. พ.ศ. 2566 และกองทุนสนับสนุนการศึกษาเพื่อผู้ด้อยโอกาส,ตามประกาศแต่ละทุน,https://sa.op.kmutnb.ac.th/scholarship/
มหาวิทยาลัยศิลปากร (แพทย์/ทันต/เภสัช),ทุนการศึกษาแบบต่อเนื่องมหาวิทยาลัยศิลปากร,ทุนขาดแคลนทุนทรัพย์ (ทุนต่อเนื่อง ระดับปริญญาตรี),เป็นนักศึกษาระดับปริญญาตรี ขาดแคลนทุนทรัพย์ ผลการเรียนเฉลี่ยสะสมไม่ต่ำกว่า 2.00 ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยศิลปากร,ทุนสนับสนุนต่อเนื่องจนจบหลักสูตร (ตามประกาศ),https://dsa.su.ac.th/
มหาวิทยาลัยศิลปากร (จิตรกรรม/มัณฑน/สถาปัตย์),ทุนการศึกษาแบบต่อเนื่องมหาวิทยาลัยศิลปากร,ทุนขาดแคลนทุนทรัพย์ (ทุนต่อเนื่อง ระดับปริญญาตรี),เป็นนักศึกษาระดับปริญญาตรี ขาดแคลนทุนทรัพย์ ผลการเรียนเฉลี่ยสะสมไม่ต่ำกว่า 2.00 ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยศิลปากร,ทุนสนับสนุนต่อเนื่องจนจบหลักสูตร (ตามประกาศ),https://dsa.su.ac.th/
มหาวิทยาลัยศิลปากร (วิทย์/วิศวกรรม),ทุนการศึกษาแบบต่อเนื่องมหาวิทยาลัยศิลปากร,ทุนขาดแคลนทุนทรัพย์ (ทุนต่อเนื่อง ระดับปริญญาตรี),เป็นนักศึกษาระดับปริญญาตรี ขาดแคลนทุนทรัพย์ ผลการเรียนเฉลี่ยสะสมไม่ต่ำกว่า 2.00 ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยศิลปากร,ทุนสนับสนุนต่อเนื่องจนจบหลักสูตร (ตามประกาศ),https://dsa.su.ac.th/
มหาวิทยาลัยศิลปากร (อักษร/ศึกษาศาสตร์),ทุนการศึกษาแบบต่อเนื่องมหาวิทยาลัยศิลปากร,ทุนขาดแคลนทุนทรัพย์ (ทุนต่อเนื่อง ระดับปริญญาตรี),เป็นนักศึกษาระดับปริญญาตรี ขาดแคลนทุนทรัพย์ ผลการเรียนเฉลี่ยสะสมไม่ต่ำกว่า 2.00 ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยศิลปากร,ทุนสนับสนุนต่อเนื่องจนจบหลักสูตร (ตามประกาศ),https://dsa.su.ac.th/
มหาวิทยาลัยศิลปากร (บัณฑิตศึกษา),ทุนการศึกษาแบบต่อเนื่องมหาวิทยาลัยศิลปากร,ทุนขาดแคลนทุนทรัพย์ (ทุนต่อเนื่อง ระดับปริญญาตรี),เป็นนักศึกษาระดับปริญญาตรี ขาดแคลนทุนทรัพย์ ผลการเรียนเฉลี่ยสะสมไม่ต่ำกว่า 2.00 ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยศิลปากร,ทุนสนับสนุนต่อเนื่องจนจบหลักสูตร (ตามประกาศ),https://dsa.su.ac.th/
มหาวิทยาลัยบูรพา (แพทยศาสตร์),ทุนการศึกษา/ทุนช่วยเหลือ กองกิจการนิสิต ม.บูรพา,ทุนช่วยเหลือ/สวัสดิการนิสิต และทุนกู้ยืม (กยศ./กรอ.),กองกิจการนิสิตจัดบริการทุนช่วยเหลือ ทุนกู้ยืมเพื่อการศึกษา (กยศ./กรอ.) และสวัสดิการแก่นิสิตมหาวิทยาลัยบูรพา,ตามประกาศแต่ละทุน,http://nisithome.buu.ac.th/
มหาวิทยาลัยบูรพา (แพทยศาสตร์),ทุนการศึกษาคณะแพทยศาสตร์ มหาวิทยาลัยบูรพา (สำหรับนิสิตขาดแคลนทุนทรัพย์),ทุนขาดแคลนทุนทรัพย์ (ระดับคณะ),งานบริหารงานกิจการนิสิต คณะแพทยศาสตร์ จัดสรรเงินรายได้ของคณะเพื่อมอบให้นิสิตที่ขาดแคลนทุนทรัพย์ โดยมีคุณสมบัติตามที่กำหนด,ตามประกาศของคณะ,https://med.buu.ac.th/affairs/bursary.php
มหาวิทยาลัยบูรพา (เภสัชศาสตร์),ทุนการศึกษา/ทุนช่วยเหลือ กองกิจการนิสิต ม.บูรพา,ทุนช่วยเหลือ/สวัสดิการนิสิต และทุนกู้ยืม (กยศ./กรอ.),กองกิจการนิสิตจัดบริการทุนช่วยเหลือ ทุนกู้ยืมเพื่อการศึกษา (กยศ./กรอ.) และสวัสดิการแก่นิสิตมหาวิทยาลัยบูรพา,ตามประกาศแต่ละทุน,http://nisithome.buu.ac.th/
มหาวิทยาลัยบูรพา (เภสัชศาสตร์),ทุนการศึกษาคณะแพทยศาสตร์ มหาวิทยาลัยบูรพา (สำหรับนิสิตขาดแคลนทุนทรัพย์),ทุนขาดแคลนทุนทรัพย์ (ระดับคณะ),งานบริหารงานกิจการนิสิต คณะแพทยศาสตร์ จัดสรรเงินรายได้ของคณะเพื่อมอบให้นิสิตที่ขาดแคลนทุนทรัพย์ โดยมีคุณสมบัติตามที่กำหนด,ตามประกาศของคณะ,https://med.buu.ac.th/affairs/bursary.php
มหาวิทยาลัยบูรพา (พยาบาล),ทุนการศึกษา/ทุนช่วยเหลือ กองกิจการนิสิต ม.บูรพา,ทุนช่วยเหลือ/สวัสดิการนิสิต และทุนกู้ยืม (กยศ./กรอ.),กองกิจการนิสิตจัดบริการทุนช่วยเหลือ ทุนกู้ยืมเพื่อการศึกษา (กยศ./กรอ.) และสวัสดิการแก่นิสิตมหาวิทยาลัยบูรพา,ตามประกาศแต่ละทุน,http://nisithome.buu.ac.th/
มหาวิทยาลัยบูรพา (พยาบาล),ทุนการศึกษาคณะแพทยศาสตร์ มหาวิทยาลัยบูรพา (สำหรับนิสิตขาดแคลนทุนทรัพย์),ทุนขาดแคลนทุนทรัพย์ (ระดับคณะ),งานบริหารงานกิจการนิสิต คณะแพทยศาสตร์ จัดสรรเงินรายได้ของคณะเพื่อมอบให้นิสิตที่ขาดแคลนทุนทรัพย์ โดยมีคุณสมบัติตามที่กำหนด,ตามประกาศของคณะ,https://med.buu.ac.th/affairs/bursary.php
มหาวิทยาลัยบูรพา (วิศวกรรมศาสตร์),ทุนการศึกษา/ทุนช่วยเหลือ กองกิจการนิสิต ม.บูรพา,ทุนช่วยเหลือ/สวัสดิการนิสิต และทุนกู้ยืม (กยศ./กรอ.),กองกิจการนิสิตจัดบริการทุนช่วยเหลือ ทุนกู้ยืมเพื่อการศึกษา (กยศ./กรอ.) และสวัสดิการแก่นิสิตมหาวิทยาลัยบูรพา,ตามประกาศแต่ละทุน,http://nisithome.buu.ac.th/
มหาวิทยาลัยบูรพา (วิศวกรรมศาสตร์),ทุนการศึกษาคณะแพทยศาสตร์ มหาวิทยาลัยบูรพา (สำหรับนิสิตขาดแคลนทุนทรัพย์),ทุนขาดแคลนทุนทรัพย์ (ระดับคณะ),งานบริหารงานกิจการนิสิต คณะแพทยศาสตร์ จัดสรรเงินรายได้ของคณะเพื่อมอบให้นิสิตที่ขาดแคลนทุนทรัพย์ โดยมีคุณสมบัติตามที่กำหนด,ตามประกาศของคณะ,https://med.buu.ac.th/affairs/bursary.php
มหาวิทยาลัยบูรพา (วิทยาศาสตร์),ทุนการศึกษา/ทุนช่วยเหลือ กองกิจการนิสิต ม.บูรพา,ทุนช่วยเหลือ/สวัสดิการนิสิต และทุนกู้ยืม (กยศ./กรอ.),กองกิจการนิสิตจัดบริการทุนช่วยเหลือ ทุนกู้ยืมเพื่อการศึกษา (กยศ./กรอ.) และสวัสดิการแก่นิสิตมหาวิทยาลัยบูรพา,ตามประกาศแต่ละทุน,http://nisithome.buu.ac.th/
มหาวิทยาลัยบูรพา (วิทยาศาสตร์),ทุนการศึกษาคณะแพทยศาสตร์ มหาวิทยาลัยบูรพา (สำหรับนิสิตขาดแคลนทุนทรัพย์),ทุนขาดแคลนทุนทรัพย์ (ระดับคณะ),งานบริหารงานกิจการนิสิต คณะแพทยศาสตร์ จัดสรรเงินรายได้ของคณะเพื่อมอบให้นิสิตที่ขาดแคลนทุนทรัพย์ โดยมีคุณสมบัติตามที่กำหนด,ตามประกาศของคณะ,https://med.buu.ac.th/affairs/bursary.php
มหาวิทยาลัยบูรพา (สังคม/รัฐ/นิติ),ทุนการศึกษา/ทุนช่วยเหลือ กองกิจการนิสิต ม.บูรพา,ทุนช่วยเหลือ/สวัสดิการนิสิต และทุนกู้ยืม (กยศ./กรอ.),กองกิจการนิสิตจัดบริการทุนช่วยเหลือ ทุนกู้ยืมเพื่อการศึกษา (กยศ./กรอ.) และสวัสดิการแก่นิสิตมหาวิทยาลัยบูรพา,ตามประกาศแต่ละทุน,http://nisithome.buu.ac.th/
มหาวิทยาลัยบูรพา (สังคม/รัฐ/นิติ),ทุนการศึกษาคณะแพทยศาสตร์ มหาวิทยาลัยบูรพา (สำหรับนิสิตขาดแคลนทุนทรัพย์),ทุนขาดแคลนทุนทรัพย์ (ระดับคณะ),งานบริหารงานกิจการนิสิต คณะแพทยศาสตร์ จัดสรรเงินรายได้ของคณะเพื่อมอบให้นิสิตที่ขาดแคลนทุนทรัพย์ โดยมีคุณสมบัติตามที่กำหนด,ตามประกาศของคณะ,https://med.buu.ac.th/affairs/bursary.php
มหาวิทยาลัยบูรพา (บริหารธุรกิจ/บัญชี),ทุนการศึกษา/ทุนช่วยเหลือ กองกิจการนิสิต ม.บูรพา,ทุนช่วยเหลือ/สวัสดิการนิสิต และทุนกู้ยืม (กยศ./กรอ.),กองกิจการนิสิตจัดบริการทุนช่วยเหลือ ทุนกู้ยืมเพื่อการศึกษา (กยศ./กรอ.) และสวัสดิการแก่นิสิตมหาวิทยาลัยบูรพา,ตามประกาศแต่ละทุน,http://nisithome.buu.ac.th/
มหาวิทยาลัยบูรพา (บริหารธุรกิจ/บัญชี),ทุนการศึกษาคณะแพทยศาสตร์ มหาวิทยาลัยบูรพา (สำหรับนิสิตขาดแคลนทุนทรัพย์),ทุนขาดแคลนทุนทรัพย์ (ระดับคณะ),งานบริหารงานกิจการนิสิต คณะแพทยศาสตร์ จัดสรรเงินรายได้ของคณะเพื่อมอบให้นิสิตที่ขาดแคลนทุนทรัพย์ โดยมีคุณสมบัติตามที่กำหนด,ตามประกาศของคณะ,https://med.buu.ac.th/affairs/bursary.php
มหาวิทยาลัยบูรพา (บัณฑิตศึกษา),ทุนการศึกษา/ทุนช่วยเหลือ กองกิจการนิสิต ม.บูรพา,ทุนช่วยเหลือ/สวัสดิการนิสิต และทุนกู้ยืม (กยศ./กรอ.),กองกิจการนิสิตจัดบริการทุนช่วยเหลือ ทุนกู้ยืมเพื่อการศึกษา (กยศ./กรอ.) และสวัสดิการแก่นิสิตมหาวิทยาลัยบูรพา,ตามประกาศแต่ละทุน,http://nisithome.buu.ac.th/
มหาวิทยาลัยบูรพา (บัณฑิตศึกษา),ทุนการศึกษาคณะแพทยศาสตร์ มหาวิทยาลัยบูรพา (สำหรับนิสิตขาดแคลนทุนทรัพย์),ทุนขาดแคลนทุนทรัพย์ (ระดับคณะ),งานบริหารงานกิจการนิสิต คณะแพทยศาสตร์ จัดสรรเงินรายได้ของคณะเพื่อมอบให้นิสิตที่ขาดแคลนทุนทรัพย์ โดยมีคุณสมบัติตามที่กำหนด,ตามประกาศของคณะ,https://med.buu.ac.th/affairs/bursary.php
มหาวิทยาลัยมหาสารคาม (แพทย์),ทุนภูมิพล,ทุนพระราชทาน/ทุนเรียนดีความประพฤติดี (ระดับปริญญาตรี),รับสมัครนิสิตเพื่อคัดเลือกรับทุน 'ทุนภูมิพล' ประจำปีการศึกษา 2568 ผ่านระบบบริหารจัดการทุนการศึกษา มมส,ตามประกาศแต่ละปี,https://ss.msu.ac.th/pages/apply.php
มหาวิทยาลัยมหาสารคาม (แพทย์),ทุนนักกีฬา,ทุนกีฬา (รายปี ระดับปริญญาตรี),นิสิตปริญญาตรีทุกชั้นปี เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 มีผลงานด้านกีฬาหรือศิลปวัฒนธรรมเป็นที่ประจักษ์ ความประพฤติเรียบร้อย,"จำนวน 40 ทุน ทุนละ 5,000 บาท",https://ss.msu.ac.th/pages/apply.php
มหาวิทยาลัยมหาสารคาม (แพทย์),ทุนส่งเสริมนักกิจกรรม,ทุนกิจกรรม (รายปี ระดับปริญญาตรี),นิสิตปริญญาตรีทุกชั้นปี เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 มีผลงานด้านกิจกรรมนิสิต เป็นผู้นำองค์กรนิสิต/ผู้รับผิดชอบโครงการ ความประพฤติเรียบร้อย,"จำนวน 40 ทุน ทุนละ 5,000 บาท",https://ss.msu.ac.th/pages/apply.php
มหาวิทยาลัยมหาสารคาม (เภสัช/สัตวแพทย์),ทุนภูมิพล,ทุนพระราชทาน/ทุนเรียนดีความประพฤติดี (ระดับปริญญาตรี),รับสมัครนิสิตเพื่อคัดเลือกรับทุน 'ทุนภูมิพล' ประจำปีการศึกษา 2568 ผ่านระบบบริหารจัดการทุนการศึกษา มมส,ตามประกาศแต่ละปี,https://ss.msu.ac.th/pages/apply.php
